,application_number,sponsor_name,app_numb_openfda,brand_name,generic_name,manufacturer_name,product_ndc,product_type,rxcui,spl_id,spl_set_id,package_ndc,submission_type,submission_status_date,product_number,reference_drug,active_ingredients,marketing_status,reference_standard,dosage_form
0,BLA017016,FERRING,,,,,,,,,,,['ORIG'],['19740115'],"['009', '007', '011', '006', '004', '010']","['No', 'No', 'No', 'No', 'No', 'No']","[[{'name': 'GONADOTROPIN, CHORIONIC', 'strength': '2,000 UNITS/VIAL'}], [{'name': 'GONADOTROPIN, CHORIONIC', 'strength': '10,000 UNITS/VIAL'}], [{'name': 'GONADOTROPIN, CHORIONIC', 'strength': '2,000 UNITS/VIAL'}], [{'name': 'GONADOTROPIN, CHORIONIC', 'strength': '5,000 UNITS/VIAL'}], [{'name': 'GONADOTROPIN, CHORIONIC', 'strength': '20,000 UNITS/VIAL'}], [{'name': 'GONADOTROPIN, CHORIONIC', 'strength': '15,000 UNITS/VIAL'}]]","['Discontinued', 'Prescription', 'Discontinued', 'Prescription', 'Discontinued', 'Discontinued']","['No', 'No', 'No', 'No', 'No', 'No']","['INJECTABLE', 'INJECTABLE', 'INJECTABLE', 'INJECTABLE', 'INJECTABLE', 'INJECTABLE']"
1,BLA017067,FRESENIUS KABI USA,['BLA017067'],['CHORIONIC GONADOTROPIN'],['CHORIONIC GONADOTROPIN'],"['Fresenius Kabi USA, LLC']",['63323-030'],['HUMAN PRESCRIPTION DRUG'],['896854'],['efba422f-ed18-484b-a141-1ba2c3ec8175'],['f93b2baa-03ac-4650-b35a-20b818d712d6'],['63323-030-11'],['ORIG'],['19730305'],"['003', '001', '004', '002']","['No', 'No', 'No', 'No']","[[{'name': 'GONADOTROPIN, CHORIONIC', 'strength': '20,000 UNITS/VIAL'}], [{'name': 'GONADOTROPIN, CHORIONIC', 'strength': '5,000 UNITS/VIAL'}], [{'name': 'GONADOTROPIN, CHORIONIC', 'strength': '15,000 UNITS/VIAL'}], [{'name': 'GONADOTROPIN, CHORIONIC', 'strength': '10,000 UNITS/VIAL'}]]","['Discontinued', 'Discontinued', 'Discontinued', 'Prescription']","['No', 'No', 'No', 'No']","['INJECTABLE', 'INJECTABLE', 'INJECTABLE', 'INJECTABLE']"
2,BLA017692,ORGANON USA INC,['BLA017692'],['PREGNYL'],['CHORIOGONADOTROPIN ALFA'],['Organon USA Inc.'],['0052-0315'],['HUMAN PRESCRIPTION DRUG'],"['896854', '896856']",['140a643c-b51c-4349-bba5-26f44e6fe5cb'],['3e26b843-9c7a-4517-a1b6-9362aab0b86c'],['0052-0315-10'],['ORIG'],['19761020'],['001'],['No'],"[[{'name': 'GONADOTROPIN, CHORIONIC', 'strength': '10,000 UNITS/VIAL'}]]",['Prescription'],['No'],['INJECTABLE']
3,BLA017776,JUBILANT DRAXIMAGE,,,,,,,,,,,['ORIG'],['19761116'],['001'],['No'],"[[{'name': 'TECHNETIUM TC-99M ALBUMIN AGGREGATED KIT', 'strength': 'N/A'}]]",['Discontinued'],['No'],['INJECTABLE']
4,BLA017836,ISO TEX,,,,,,,,,,,['ORIG'],['19760223'],"['001', '002', '003']","['No', 'No', 'No']","[[{'name': 'ALBUMIN IODINATED I-125 SERUM', 'strength': '500uCi/0.5ML'}], [{'name': 'ALBUMIN IODINATED I-125 SERUM', 'strength': '1,000uCi/ML'}], [{'name': 'ALBUMIN IODINATED I-125 SERUM', 'strength': '100uCi/10ML (10uCi/ML)'}]]","['Prescription', 'Prescription', 'Prescription']","['No', 'No', 'No']","['INJECTABLE', 'INJECTABLE', 'INJECTABLE']"
5,BLA017837,ISO TEX,,,,,,,,,,,['ORIG'],['19760223'],"['005', '003', '001', '004', '002']","['No', 'No', 'No', 'No', 'No']","[[{'name': 'ALBUMIN IODINATED I-131 SERUM', 'strength': '20uCi/AMP'}], [{'name': 'ALBUMIN IODINATED I-131 SERUM', 'strength': '2mCi/VIAL'}], [{'name': 'ALBUMIN IODINATED I-131 SERUM', 'strength': '0.5mCi/VIAL'}], [{'name': 'ALBUMIN IODINATED I-131 SERUM', 'strength': '5uCi/AMP'}], [{'name': 'ALBUMIN IODINATED I-131 SERUM', 'strength': '1mCi/VIAL'}]]","['Discontinued', 'Discontinued', 'Prescription', 'Discontinued', 'Prescription']","['No', 'No', 'No', 'No', 'No']","['INJECTABLE', 'INJECTABLE', 'INJECTABLE', 'INJECTABLE', 'INJECTABLE']"
6,BLA017881,DRAXIMAGE,,,,,,,,,,,['ORIG'],['19871230'],['001'],['No'],"[[{'name': 'TECHNETIUM TC-99M ALBUMIN AGGREGATED KIT', 'strength': 'N/A'}]]",['Prescription'],['No'],['INJECTABLE']
7,BLA018780,LILLY,,,,,,,,,,,['ORIG'],['19821028'],"['005', '001', '004', '002']","['No', 'No', 'No', 'No']","[[{'name': 'INSULIN RECOMBINANT HUMAN', 'strength': '100 UNITS/ML'}], [{'name': 'INSULIN RECOMBINANT HUMAN', 'strength': '100 UNITS/ML'}], [{'name': 'INSULIN HUMAN', 'strength': '10000 UNITS/20ML (500 UNITS/ML)'}], [{'name': 'INSULIN HUMAN', 'strength': '1500 UNITS/3ML (500 UNITS/ML)'}]]","['Over-the-counter', 'Over-the-counter', 'Prescription', 'Prescription']","['No', 'No', 'No', 'No']","['INJECTABLE', 'INJECTABLE', 'SOLUTION', 'SOLUTION']"
8,BLA019640,LILLY,,,,,,,,,,,['ORIG'],['19861016'],"['001', '006', '004', '007', '005']","['No', 'No', 'No', 'No', 'No']","[[{'name': 'SOMATROPIN', 'strength': '2MG/VIAL'}], [{'name': 'SOMATROPIN', 'strength': '12MG/VIAL'}], [{'name': 'SOMATROPIN', 'strength': '5MG/VIAL'}], [{'name': 'SOMATROPIN', 'strength': '24MG/VIAL'}], [{'name': 'SOMATROPIN', 'strength': '6MG/VIAL'}]]","['Discontinued', 'Prescription', 'Prescription', 'Prescription', 'Prescription']","['No', 'No', 'No', 'No', 'No']","['INJECTABLE', 'INJECTABLE', 'INJECTABLE', 'INJECTABLE', 'INJECTABLE']"
9,BLA019764,EMD SERONO,,,,,,,,,,,['ORIG'],['19961008'],"['002', '005', '003', '001']","['No', 'No', 'No', 'No']","[[{'name': 'SOMATROPIN', 'strength': '5MG/VIAL'}], [{'name': 'SOMATROPIN', 'strength': '4MG/VIAL'}], [{'name': 'SOMATROPIN', 'strength': '8.8MG/VIAL'}], [{'name': 'SOMATROPIN', 'strength': '6MG/VIAL'}]]","['Prescription', 'Discontinued', 'Prescription', 'Discontinued']","['No', 'No', 'No', 'No']","['INJECTABLE', 'INJECTABLE', 'INJECTABLE', 'INJECTABLE']"
